customer_id,company_name,industry,purchase_history,engagement_score,last_interaction_date,churn,total_spend,num_purchases,signup_date,recency_days,tenure_days,product_diversity,monetary,frequency,cluster,segment,churn_label,churn_prob
1,Weber Ltd,Healthcare,7723,26,2025-04-14,0,7723,0,2024-10-16,144,324,1,7723,0,2,at_risk,0,0.25
2,"Morales, Hernandez and Taylor",Retail,14456,96,2025-06-13,0,14456,0,2024-12-15,84,264,1,14456,0,0,high_value,0,0.42
3,Dean and Sons,IT,14445,51,2025-06-14,1,14445,0,2024-12-16,83,263,1,14445,0,0,high_value,1,0.71
4,Hood-Brock,Healthcare,19568,23,2025-07-17,1,19568,0,2025-01-18,50,230,1,19568,0,0,high_value,1,0.56
5,Schwartz Group,Manufacturing,3179,17,2025-08-11,1,3179,0,2025-02-12,25,205,1,3179,0,1,mid_value,1,0.88
6,"Montgomery, Smith and Bailey",Education,1167,23,2025-04-12,1,1167,0,2024-10-14,146,326,1,1167,0,2,at_risk,1,0.73
7,White Group,Healthcare,14178,92,2025-07-15,0,14178,0,2025-01-16,52,232,1,14178,0,0,high_value,0,0.22
8,"Johnson, Romero and Cortez",Education,9230,88,2025-05-05,0,9230,0,2024-11-06,123,303,1,9230,0,2,at_risk,0,0.35
9,Snow-Lewis,IT,3740,17,2025-06-26,0,3740,0,2024-12-28,71,251,1,3740,0,1,mid_value,0,0.23
10,"Nichols, Chang and Sullivan",Manufacturing,1445,72,2025-07-20,1,1445,0,2025-01-21,47,227,1,1445,0,1,mid_value,1,0.74
11,"Miller, Morrow and Harvey",IT,12080,57,2025-09-05,1,12080,0,2025-03-09,0,180,1,12080,0,0,high_value,1,0.82
12,"Hansen, Grimes and Glass",IT,7979,15,2025-04-29,1,7979,0,2024-10-31,129,309,1,7979,0,2,at_risk,1,0.56
13,Cameron-Drake,Retail,10175,93,2025-04-29,1,10175,0,2024-10-31,129,309,1,10175,0,2,at_risk,1,0.7
14,"Morton, Galloway and Joyce",Education,17909,17,2025-08-03,0,17909,0,2025-02-04,33,213,1,17909,0,0,high_value,0,0.25
15,Contreras-Ramirez,IT,17156,48,2025-06-25,0,17156,0,2024-12-27,72,252,1,17156,0,0,high_value,0,0.21
16,"Carter, James and Reid",Healthcare,8164,35,2025-03-19,0,8164,0,2024-09-20,170,350,1,8164,0,2,at_risk,0,0.22
17,Armstrong-Donovan,Manufacturing,2336,42,2025-06-09,1,2336,0,2024-12-11,88,268,1,2336,0,1,mid_value,1,0.64
18,Hancock-Davis,IT,14815,55,2025-04-06,1,14815,0,2024-10-08,152,332,1,14815,0,2,at_risk,1,0.86
19,Day LLC,Healthcare,17940,71,2025-06-06,1,17940,0,2024-12-08,91,271,1,17940,0,0,high_value,1,0.77
20,Thompson Group,Retail,4688,45,2025-06-22,0,4688,0,2024-12-24,75,255,1,4688,0,1,mid_value,0,0.22
21,Morales LLC,IT,14614,10,2025-07-22,0,14614,0,2025-01-23,45,225,1,14614,0,0,high_value,0,0.12
22,"Stewart, Stewart and Hernandez",Finance,8149,25,2025-08-21,0,8149,0,2025-02-22,15,195,1,8149,0,1,mid_value,0,0.11
23,King-Rush,Manufacturing,7644,80,2025-05-14,0,7644,0,2024-11-15,114,294,1,7644,0,2,at_risk,0,0.25
